region_id,region_name,count,mean,median,max
1,Республика Адыгея,19,52105.26315789474,45000.0,250000
2,Республика Башкортостан,90,74067.0,30000.0,600000
3,Республика Бурятия,10,195900.0,225000.0,400000
4,Республика Алтай,33,195484.84848484848,120000.0,1000000
5,Республика Дагестан,166,40722.89156626506,15000.0,300000
7,Кабардино-Балкарская Республика,9,19666.666666666668,20000.0,30000
8,Республика Калмыкия,8,31250.0,40000.0,50000
9,Карачаево-Черкесская Республика,4,31750.0,10000.0,100000
10,Республика Карелия,9,201111.11111111112,150000.0,480000
11,Республика Коми,42,106660.71428571429,100000.0,280000
12,Республика Марий Эл,20,97150.0,100000.0,350000
13,Республика Мордовия,7,72857.14285714286,30000.0,300000
14,Республика Саха (Якутия),26,84861.53846153847,100000.0,150000
15,Республика Северная Осетия — Алания,7,52714.28571428572,20000.0,194000
16,Республика Татарстан,17,21588.235294117647,20000.0,70000
17,Республика Тыва,8,145000.0,90000.0,400000
18,Удмуртская Республика,24,70208.33333333333,40000.0,300000
19,Республика Хакасия,6,143109.83333333334,107539.5,370500
21,Чувашская Республика,5,44000.0,50000.0,50000
22,Алтайский край,22,347969.7272727273,20000.0,5396334
23,Краснодарский край,49,203850.4693877551,30000.0,1718163
24,Красноярский край,33,161670.63636363635,50000.0,1000000
25,Приморский край,22,388636.36363636365,300000.0,2000000
26,Ставропольский край,145,74310.3448275862,43000.0,550000
27,Хабаровский край,13,34346.153846153844,25000.0,210000
29,Архангельская область,24,105000.0,50000.0,800000
30,Астраханская область,123,179886.17886178862,150000.0,1000000
31,Белгородская область,73,78073.56164383562,35000.0,450000
32,Брянская область,47,257340.4255319149,80000.0,1700000
33,Владимирская область,13,203846.15384615384,30000.0,1800000
34,Волгоградская область,28,91925.0,8500.0,600000
35,Вологодская область,12,40854.166666666664,4000.0,200000
37,Ивановская область,21,23071.666666666668,15000.0,140000
39,Калининградская область,20,48250.0,40000.0,200000
40,Калужская область,11,200909.0909090909,150000.0,300000
41,Камчатский край,21,93180.95238095238,50000.0,350000
42,Кемеровская область,20,221050.0,100000.0,900000
43,Кировская область,80,63102.825,32500.0,450000
44,Костромская область,5,44000.0,30000.0,100000
45,Курганская область,16,74062.5,20000.0,260000
46,Курская область,13,78523.07692307692,30000.0,210000
47,Ленинградская область,48,158037.66666666666,79996.0,900000
48,Липецкая область,43,170465.11627906977,70000.0,700000
50,Московская область,92,131399.08695652173,30000.0,1000000
51,Мурманская область,15,215666.66666666666,150000.0,700000
52,Нижегородская область,26,41288.46153846154,10000.0,200000
53,Новгородская область,10,28629.1,25000.0,60000
54,Новосибирская область,13,40769.230769230766,30000.0,110000
55,Омская область,16,69437.5,60000.0,216000
56,Оренбургская область,163,126898.77300613497,50000.0,1800000
57,Орловская область,32,133500.0,75000.0,700000
58,Пензенская область,25,40052440.0,10000.0,1000000000
59,Пермский край,108,138799.25925925927,50000.0,900000
60,Псковская область,4,55037.5,50037.5,120000
61,Ростовская область,56,128522.85714285714,80000.0,800000
62,Рязанская область,6,34871.833333333336,29615.5,100000
63,Самарская область,123,75193.54471544715,30000.0,400000
64,Саратовская область,79,130288.30379746835,100000.0,500000
65,Сахалинская область,7,65714.28571428571,100000.0,120000
66,Свердловская область,36,63708.333333333336,30000.0,500000
67,Смоленская область,5,224000.0,110000.0,500000
68,Тамбовская область,30,95133.33333333333,45000.0,900000
69,Тверская область,14,8714.285714285714,10000.0,15000
70,Томская область,4,66250.0,80000.0,100000
71,Тульская область,49,125818.1836734694,100000.0,500000
72,Тюменская область,3,35000.0,40000.0,50000
73,Ульяновская область,53,248830.84905660377,200000.0,1150000
74,Челябинская область,41,27489.024390243903,10000.0,200000
75,Забайкальский край,24,104479.16666666667,100000.0,300000
76,Ярославская область,14,148214.2857142857,80000.0,450000
77,г. Москва,23,92173.91304347826,25000.0,350000
78,г. Санкт-Петербург,72,78944.44444444444,30000.0,300000
79,Еврейская автономная область,1,50000.0,50000.0,50000
83,Ненецкий автономный округ,3,225000.0,300000.0,325000
86,Ханты-Мансийский автономный округ — Югра,12,86666.66666666667,30000.0,300000
89,Ямало-Ненецкий автономный округ,23,51913.04347826087,25000.0,120000
