region_name,count
г. Москва,3270
г. Санкт-Петербург,1601
Московская область,1525
Республика Дагестан,965
Ростовская область,757
Самарская область,583
Краснодарский край,558
Ставропольский край,555
Красноярский край,517
Свердловская область,482
Челябинская область,465
Республика Башкортостан,451
Республика Татарстан,450
Астраханская область,438
Волгоградская область,425
Новосибирская область,368
Приморский край,349
Пермский край,336
Алтайский край,335
Ленинградская область,332
Нижегородская область,319
Саратовская область,318
Оренбургская область,283
Кемеровская область,257
Кировская область,247
Республика Коми,234
Брянская область,218
Хабаровский край,214
Ярославская область,207
Тульская область,201
Калининградская область,201
Кабардино-Балкарская Республика,201
Тамбовская область,199
Архангельская область,199
Забайкальский край,190
Пензенская область,190
Белгородская область,175
Мурманская область,174
Томская область,174
Тюменская область,156
Омская область,156
Республика Адыгея,153
Ульяновская область,151
Удмуртская Республика,145
Владимирская область,139
Липецкая область,138
Тверская область,135
Ханты-Мансийский автономный округ — Югра,134
Курская область,134
Ивановская область,132
Вологодская область,131
Республика Мордовия,124
Республика Бурятия,123
Чувашская Республика,123
Республика Северная Осетия — Алания,123
Республика Саха (Якутия),118
Рязанская область,115
Республика Карелия,110
Камчатский край,109
Смоленская область,105
Орловская область,96
Курганская область,95
Калужская область,93
Сахалинская область,91
Ямало-Ненецкий автономный округ,85
Новгородская область,84
Республика Ингушетия,83
Республика Марий Эл,83
Псковская область,80
Республика Алтай,63
Республика Хакасия,62
Костромская область,59
Карачаево-Черкесская Республика,55
Республика Калмыкия,49
Республика Тыва,47
Магаданская область,17
Чукотский автономный округ,11
Ненецкий автономный округ,7
Еврейская автономная область,6
Иркутская область,6
