region_name,count
Московская область,1018
Республика Дагестан,665
г. Санкт-Петербург,484
Ростовская область,475
Ставропольский край,401
Самарская область,371
Астраханская область,328
Красноярский край,313
Краснодарский край,309
Республика Башкортостан,303
Волгоградская область,291
Республика Татарстан,261
Саратовская область,256
Свердловская область,246
Челябинская область,245
г. Москва,223
Новосибирская область,212
Алтайский край,211
Пермский край,207
Ленинградская область,201
Кировская область,191
Нижегородская область,188
Оренбургская область,186
Кемеровская область,169
Приморский край,167
Архангельская область,154
Кабардино-Балкарская Республика,152
Тамбовская область,138
Пензенская область,137
Республика Коми,133
Калининградская область,130
Белгородская область,126
Забайкальский край,125
Брянская область,119
Тульская область,114
Хабаровский край,113
Липецкая область,111
Ярославская область,109
Тверская область,101
Удмуртская Республика,99
Томская область,97
Владимирская область,96
Вологодская область,95
Омская область,85
Ивановская область,85
Ульяновская область,85
Республика Мордовия,84
Республика Бурятия,81
Камчатский край,73
Курская область,72
Мурманская область,71
Республика Саха (Якутия),71
Республика Адыгея,70
Чувашская Республика,68
Ханты-Мансийский автономный округ — Югра,68
Рязанская область,68
Республика Карелия,62
Орловская область,58
Тюменская область,56
Курганская область,55
Ямало-Ненецкий автономный округ,55
Республика Марий Эл,55
Смоленская область,54
Сахалинская область,51
Псковская область,46
Калужская область,45
Республика Хакасия,45
Республика Северная Осетия — Алания,40
Республика Алтай,40
Новгородская область,38
Карачаево-Черкесская Республика,33
Костромская область,31
Республика Калмыкия,27
Республика Ингушетия,25
Республика Тыва,14
Магаданская область,11
Ненецкий автономный округ,6
Чукотский автономный округ,6
Еврейская автономная область,4
Иркутская область,1
